SN,Polymer_SMILES,Solvent_SMILES,Activities,logD,liquid_density_solvent,MW_rdkit,log10MV,log10(mmol_solvent/g_Polymer)
83.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.63607286,-8.26520017,0.784,58.08,1.869710545,0.749743953
83.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.63607286,-8.26520017,0.784,58.08,1.869710545,0.919045857
83.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.63607286,-8.26520017,0.784,58.08,1.869710545,1.024732518
83.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.63607286,-8.26520017,0.784,58.08,1.869710545,1.176021673
83.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.63607286,-8.26520017,0.784,58.08,1.869710545,1.267368504
83.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.63607286,-8.26520017,0.784,58.08,1.869710545,1.376112584
83.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.63607286,-8.26520017,0.784,58.08,1.869710545,1.535381823
83.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.63607286,-8.26520017,0.784,58.08,1.869710545,1.614790933
84.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.740561649,-8.173925197,0.784,58.08,1.869710545,0.749743953
84.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.740561649,-8.173925197,0.784,58.08,1.869710545,0.919045857
